learner on mps, 10 workers, sims=16, study=on
[25/10000] warmup | plies 131 decisive 40% | buffer 3550 steps 0 | 166.3 g/min eta 1.0h
[1975/10000] loss 2.140 (pi 2.123 v 0.016 q 0.001 c 0.001) | plies 141 decisive 18% | buffer 200000 steps 3733 | 184.9 g/min eta 0.7h
[2000/10000] loss 2.135 (pi 2.117 v 0.016 q 0.001 c 0.000) | plies 142 decisive 18% | buffer 200000 steps 3782 | 185.2 g/min eta 0.7h
  EVAL @2000: q-greedy 1-23-0 | policy-greedy 0-23-1 | search 2-6-0 (eval 28s)
[2025/10000] loss 2.133 (pi 2.116 v 0.016 q 0.001 c 0.000) | plies 143 decisive 16% | buffer 200000 steps 3830 | 175.7 g/min eta 0.8h
[2050/10000] loss 2.130 (pi 2.112 v 0.016 q 0.001 c 0.001) | plies 145 decisive 16% | buffer 200000 steps 3879 | 177.1 g/min eta 0.7h
[2075/10000] loss 2.128 (pi 2.110 v 0.016 q 0.001 c 0.001) | plies 146 decisive 14% | buffer 200000 steps 3930 | 178.5 g/min eta 0.7h
[2100/10000] loss 2.129 (pi 2.112 v 0.016 q 0.001 c 0.001) | plies 147 decisive 12% | buffer 200000 steps 3979 | 179.9 g/min eta 0.7h
[2125/10000] loss 2.128 (pi 2.111 v 0.016 q 0.001 c 0.001) | plies 147 decisive 12% | buffer 200000 steps 4025 | 180.5 g/min eta 0.7h
[2150/10000] loss 2.124 (pi 2.107 v 0.016 q 0.001 c 0.001) | plies 147 decisive 10% | buffer 200000 steps 4072 | 180.8 g/min eta 0.7h
[2175/10000] loss 2.124 (pi 2.107 v 0.016 q 0.001 c 0.001) | plies 147 decisive 10% | buffer 200000 steps 4118 | 181.2 g/min eta 0.7h
[2200/10000] loss 2.120 (pi 2.103 v 0.016 q 0.001 c 0.001) | plies 148 decisive 10% | buffer 200000 steps 4170 | 181.5 g/min eta 0.7h
[2225/10000] loss 2.117 (pi 2.100 v 0.016 q 0.001 c 0.001) | plies 147 decisive 11% | buffer 200000 steps 4219 | 181.7 g/min eta 0.7h
[2250/10000] loss 2.118 (pi 2.101 v 0.015 q 0.001 c 0.001) | plies 147 decisive 10% | buffer 200000 steps 4267 | 181.8 g/min eta 0.7h
[2275/10000] loss 2.119 (pi 2.103 v 0.015 q 0.001 c 0.001) | plies 145 decisive 12% | buffer 200000 steps 4313 | 182.2 g/min eta 0.7h
[2300/10000] loss 2.118 (pi 2.102 v 0.015 q 0.001 c 0.000) | plies 146 decisive 12% | buffer 200000 steps 4363 | 182.2 g/min eta 0.7h
[2325/10000] loss 2.114 (pi 2.098 v 0.015 q 0.001 c 0.000) | plies 148 decisive 11% | buffer 200000 steps 4413 | 182.4 g/min eta 0.7h
[2350/10000] loss 2.108 (pi 2.092 v 0.015 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4464 | 182.5 g/min eta 0.7h
[2375/10000] loss 2.106 (pi 2.090 v 0.015 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4512 | 182.7 g/min eta 0.7h
[2400/10000] loss 2.102 (pi 2.086 v 0.015 q 0.001 c 0.001) | plies 147 decisive 12% | buffer 200000 steps 4560 | 182.9 g/min eta 0.7h
[2425/10000] loss 2.104 (pi 2.088 v 0.015 q 0.001 c 0.001) | plies 146 decisive 12% | buffer 200000 steps 4609 | 183.2 g/min eta 0.7h
[2450/10000] loss 2.103 (pi 2.087 v 0.015 q 0.001 c 0.001) | plies 144 decisive 16% | buffer 200000 steps 4654 | 183.6 g/min eta 0.7h
[2475/10000] loss 2.098 (pi 2.082 v 0.015 q 0.001 c 0.001) | plies 144 decisive 14% | buffer 200000 steps 4701 | 184.0 g/min eta 0.7h
[2500/10000] loss 2.091 (pi 2.075 v 0.015 q 0.001 c 0.001) | plies 142 decisive 17% | buffer 200000 steps 4749 | 184.2 g/min eta 0.7h
  EVAL @2500: q-greedy 4-19-1 | policy-greedy 0-24-0 | search 5-3-0 (eval 21s)
[2525/10000] loss 2.085 (pi 2.069 v 0.015 q 0.001 c 0.001) | plies 141 decisive 18% | buffer 200000 steps 4797 | 178.4 g/min eta 0.7h
[2550/10000] loss 2.084 (pi 2.067 v 0.015 q 0.001 c 0.001) | plies 140 decisive 18% | buffer 200000 steps 4844 | 179.6 g/min eta 0.7h
[2575/10000] loss 2.087 (pi 2.071 v 0.015 q 0.001 c 0.001) | plies 142 decisive 18% | buffer 200000 steps 4896 | 180.7 g/min eta 0.7h
[2600/10000] loss 2.086 (pi 2.069 v 0.016 q 0.001 c 0.001) | plies 140 decisive 21% | buffer 200000 steps 4941 | 181.9 g/min eta 0.7h
[2625/10000] loss 2.086 (pi 2.069 v 0.016 q 0.001 c 0.001) | plies 140 decisive 22% | buffer 200000 steps 4991 | 182.4 g/min eta 0.7h
[2650/10000] loss 2.084 (pi 2.067 v 0.016 q 0.001 c 0.001) | plies 141 decisive 20% | buffer 200000 steps 5037 | 182.8 g/min eta 0.7h
[2675/10000] loss 2.083 (pi 2.066 v 0.016 q 0.001 c 0.001) | plies 141 decisive 20% | buffer 200000 steps 5084 | 183.1 g/min eta 0.7h
[2700/10000] loss 2.084 (pi 2.067 v 0.016 q 0.001 c 0.001) | plies 141 decisive 20% | buffer 200000 steps 5132 | 183.4 g/min eta 0.7h
[2725/10000] loss 2.078 (pi 2.061 v 0.016 q 0.001 c 0.001) | plies 141 decisive 18% | buffer 200000 steps 5182 | 183.6 g/min eta 0.7h
[2750/10000] loss 2.080 (pi 2.062 v 0.016 q 0.001 c 0.001) | plies 142 decisive 19% | buffer 200000 steps 5232 | 183.9 g/min eta 0.7h
[2775/10000] loss 2.074 (pi 2.057 v 0.016 q 0.001 c 0.001) | plies 140 decisive 20% | buffer 200000 steps 5278 | 184.1 g/min eta 0.7h
[2800/10000] loss 2.071 (pi 2.054 v 0.016 q 0.001 c 0.001) | plies 142 decisive 18% | buffer 200000 steps 5326 | 184.4 g/min eta 0.7h
[2825/10000] loss 2.074 (pi 2.056 v 0.017 q 0.001 c 0.001) | plies 142 decisive 18% | buffer 200000 steps 5374 | 184.7 g/min eta 0.6h
[2850/10000] loss 2.071 (pi 2.052 v 0.017 q 0.001 c 0.001) | plies 142 decisive 18% | buffer 200000 steps 5422 | 184.8 g/min eta 0.6h
[2875/10000] loss 2.070 (pi 2.051 v 0.018 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5471 | 185.0 g/min eta 0.6h
[2900/10000] loss 2.069 (pi 2.049 v 0.018 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5518 | 185.3 g/min eta 0.6h
[2925/10000] loss 2.065 (pi 2.045 v 0.018 q 0.001 c 0.001) | plies 141 decisive 22% | buffer 200000 steps 5567 | 185.5 g/min eta 0.6h
[2950/10000] loss 2.060 (pi 2.040 v 0.018 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5617 | 185.7 g/min eta 0.6h
[2975/10000] loss 2.060 (pi 2.041 v 0.018 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5664 | 185.9 g/min eta 0.6h
[3000/10000] loss 2.057 (pi 2.037 v 0.018 q 0.001 c 0.001) | plies 143 decisive 20% | buffer 200000 steps 5713 | 186.1 g/min eta 0.6h
  EVAL @3000: q-greedy 6-18-0 | policy-greedy 0-24-0 | search 8-0-0 (eval 21s)
[3025/10000] loss 2.064 (pi 2.044 v 0.019 q 0.001 c 0.001) | plies 145 decisive 20% | buffer 200000 steps 5764 | 181.0 g/min eta 0.6h
[3050/10000] loss 2.061 (pi 2.041 v 0.019 q 0.001 c 0.001) | plies 144 decisive 19% | buffer 200000 steps 5810 | 182.1 g/min eta 0.6h
[3075/10000] loss 2.062 (pi 2.041 v 0.019 q 0.001 c 0.001) | plies 144 decisive 20% | buffer 200000 steps 5862 | 183.0 g/min eta 0.6h
[3100/10000] loss 2.061 (pi 2.039 v 0.020 q 0.001 c 0.001) | plies 143 decisive 21% | buffer 200000 steps 5910 | 184.0 g/min eta 0.6h
[3125/10000] loss 2.058 (pi 2.036 v 0.020 q 0.001 c 0.001) | plies 141 decisive 22% | buffer 200000 steps 5954 | 184.5 g/min eta 0.6h
[3150/10000] loss 2.056 (pi 2.034 v 0.020 q 0.001 c 0.001) | plies 140 decisive 22% | buffer 200000 steps 6003 | 184.7 g/min eta 0.6h
[3175/10000] loss 2.057 (pi 2.035 v 0.020 q 0.001 c 0.001) | plies 142 decisive 21% | buffer 200000 steps 6052 | 185.0 g/min eta 0.6h
[3200/10000] loss 2.058 (pi 2.035 v 0.021 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 6102 | 185.1 g/min eta 0.6h
[3225/10000] loss 2.057 (pi 2.034 v 0.021 q 0.001 c 0.001) | plies 138 decisive 24% | buffer 200000 steps 6149 | 185.5 g/min eta 0.6h
[3250/10000] loss 2.055 (pi 2.032 v 0.020 q 0.001 c 0.001) | plies 139 decisive 23% | buffer 200000 steps 6196 | 185.7 g/min eta 0.6h
[3275/10000] loss 2.052 (pi 2.030 v 0.020 q 0.001 c 0.001) | plies 138 decisive 22% | buffer 200000 steps 6241 | 186.0 g/min eta 0.6h
[3300/10000] loss 2.052 (pi 2.029 v 0.021 q 0.001 c 0.001) | plies 138 decisive 22% | buffer 200000 steps 6286 | 186.2 g/min eta 0.6h
[3325/10000] loss 2.049 (pi 2.025 v 0.022 q 0.001 c 0.001) | plies 141 decisive 20% | buffer 200000 steps 6334 | 186.4 g/min eta 0.6h
[3350/10000] loss 2.048 (pi 2.024 v 0.022 q 0.001 c 0.001) | plies 139 decisive 22% | buffer 200000 steps 6382 | 186.6 g/min eta 0.6h
[3375/10000] loss 2.049 (pi 2.026 v 0.021 q 0.001 c 0.001) | plies 139 decisive 23% | buffer 200000 steps 6432 | 186.7 g/min eta 0.6h
[3400/10000] loss 2.050 (pi 2.027 v 0.021 q 0.001 c 0.001) | plies 138 decisive 24% | buffer 200000 steps 6480 | 186.8 g/min eta 0.6h
[3425/10000] loss 2.046 (pi 2.023 v 0.021 q 0.002 c 0.001) | plies 140 decisive 22% | buffer 200000 steps 6531 | 186.8 g/min eta 0.6h
[3450/10000] loss 2.046 (pi 2.022 v 0.022 q 0.002 c 0.001) | plies 139 decisive 24% | buffer 200000 steps 6581 | 187.0 g/min eta 0.6h
[3475/10000] loss 2.044 (pi 2.019 v 0.022 q 0.002 c 0.001) | plies 141 decisive 26% | buffer 200000 steps 6633 | 187.1 g/min eta 0.6h
[3500/10000] loss 2.046 (pi 2.021 v 0.023 q 0.002 c 0.001) | plies 141 decisive 26% | buffer 200000 steps 6680 | 187.3 g/min eta 0.6h
  EVAL @3500: q-greedy 10-14-0 | policy-greedy 0-24-0 | search 6-2-0 (eval 24s)
[3525/10000] loss 2.046 (pi 2.020 v 0.023 q 0.002 c 0.001) | plies 141 decisive 27% | buffer 200000 steps 6729 | 182.8 g/min eta 0.6h
[3550/10000] loss 2.046 (pi 2.020 v 0.024 q 0.002 c 0.001) | plies 139 decisive 28% | buffer 200000 steps 6775 | 183.7 g/min eta 0.6h
[3575/10000] loss 2.043 (pi 2.016 v 0.024 q 0.002 c 0.002) | plies 138 decisive 30% | buffer 200000 steps 6823 | 184.5 g/min eta 0.6h
[3600/10000] loss 2.039 (pi 2.011 v 0.025 q 0.002 c 0.002) | plies 137 decisive 30% | buffer 200000 steps 6870 | 185.4 g/min eta 0.6h
[3625/10000] loss 2.041 (pi 2.013 v 0.025 q 0.002 c 0.002) | plies 136 decisive 30% | buffer 200000 steps 6916 | 185.7 g/min eta 0.6h
[3650/10000] loss 2.037 (pi 2.009 v 0.025 q 0.002 c 0.002) | plies 138 decisive 28% | buffer 200000 steps 6968 | 185.8 g/min eta 0.6h
[3675/10000] loss 2.035 (pi 2.007 v 0.026 q 0.002 c 0.002) | plies 138 decisive 28% | buffer 200000 steps 7019 | 185.9 g/min eta 0.6h
[3700/10000] loss 2.038 (pi 2.009 v 0.026 q 0.002 c 0.002) | plies 138 decisive 27% | buffer 200000 steps 7065 | 186.1 g/min eta 0.6h
[3725/10000] loss 2.037 (pi 2.007 v 0.027 q 0.002 c 0.002) | plies 137 decisive 28% | buffer 200000 steps 7114 | 186.2 g/min eta 0.6h
[3750/10000] loss 2.035 (pi 2.005 v 0.027 q 0.002 c 0.002) | plies 139 decisive 26% | buffer 200000 steps 7162 | 186.4 g/min eta 0.6h
[3775/10000] loss 2.039 (pi 2.009 v 0.027 q 0.002 c 0.002) | plies 140 decisive 27% | buffer 200000 steps 7215 | 186.5 g/min eta 0.6h
[3800/10000] loss 2.036 (pi 2.005 v 0.028 q 0.002 c 0.002) | plies 140 decisive 27% | buffer 200000 steps 7263 | 186.6 g/min eta 0.6h
[3825/10000] loss 2.033 (pi 2.003 v 0.028 q 0.002 c 0.002) | plies 139 decisive 29% | buffer 200000 steps 7315 | 186.8 g/min eta 0.6h
[3850/10000] loss 2.032 (pi 2.000 v 0.029 q 0.002 c 0.002) | plies 137 decisive 31% | buffer 200000 steps 7364 | 187.0 g/min eta 0.5h
[3875/10000] loss 2.032 (pi 2.001 v 0.029 q 0.002 c 0.002) | plies 137 decisive 30% | buffer 200000 steps 7415 | 187.1 g/min eta 0.5h
