learner on mps, 10 workers, sims=16
[25/10000] warmup | plies 118 decisive 48% | buffer 2940 steps 0 | 213.4 g/min eta 0.8h
[2200/10000] loss 2.233 (pi 2.211 v 0.020 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4158 | 191.4 g/min eta 0.7h
[2225/10000] loss 2.234 (pi 2.213 v 0.019 q 0.001 c 0.001) | plies 150 decisive 11% | buffer 200000 steps 4207 | 191.4 g/min eta 0.7h
[2250/10000] loss 2.229 (pi 2.209 v 0.019 q 0.001 c 0.001) | plies 152 decisive 10% | buffer 200000 steps 4257 | 191.8 g/min eta 0.7h
[2275/10000] loss 2.223 (pi 2.202 v 0.019 q 0.001 c 0.001) | plies 152 decisive 10% | buffer 200000 steps 4305 | 191.9 g/min eta 0.7h
[2300/10000] loss 2.218 (pi 2.198 v 0.018 q 0.001 c 0.001) | plies 151 decisive 10% | buffer 200000 steps 4352 | 192.2 g/min eta 0.7h
[2325/10000] loss 2.214 (pi 2.195 v 0.018 q 0.001 c 0.001) | plies 152 decisive 10% | buffer 200000 steps 4400 | 192.6 g/min eta 0.7h
[2350/10000] loss 2.211 (pi 2.192 v 0.018 q 0.001 c 0.001) | plies 150 decisive 12% | buffer 200000 steps 4448 | 192.8 g/min eta 0.7h
[2375/10000] loss 2.207 (pi 2.188 v 0.018 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4494 | 193.2 g/min eta 0.7h
[2400/10000] loss 2.201 (pi 2.182 v 0.018 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4542 | 193.3 g/min eta 0.7h
[2425/10000] loss 2.198 (pi 2.179 v 0.017 q 0.001 c 0.001) | plies 150 decisive 12% | buffer 200000 steps 4591 | 193.5 g/min eta 0.7h
[2450/10000] loss 2.195 (pi 2.177 v 0.017 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4639 | 193.7 g/min eta 0.6h
[2475/10000] loss 2.192 (pi 2.173 v 0.017 q 0.001 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 4686 | 194.1 g/min eta 0.6h
[2500/10000] loss 2.188 (pi 2.170 v 0.017 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4734 | 194.1 g/min eta 0.6h
  EVAL @2500: q-greedy 0-23-1 | policy-greedy 0-23-1 | search 8-0-0 (eval 20s)
[2525/10000] loss 2.188 (pi 2.170 v 0.017 q 0.001 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 4781 | 188.1 g/min eta 0.7h
[2550/10000] loss 2.183 (pi 2.164 v 0.017 q 0.001 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 4828 | 189.3 g/min eta 0.7h
[2575/10000] loss 2.184 (pi 2.166 v 0.017 q 0.001 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 4875 | 190.6 g/min eta 0.6h
[2600/10000] loss 2.176 (pi 2.157 v 0.017 q 0.001 c 0.001) | plies 148 decisive 13% | buffer 200000 steps 4923 | 191.8 g/min eta 0.6h
[2625/10000] loss 2.173 (pi 2.155 v 0.017 q 0.001 c 0.001) | plies 148 decisive 15% | buffer 200000 steps 4972 | 192.1 g/min eta 0.6h
[2650/10000] loss 2.171 (pi 2.153 v 0.017 q 0.001 c 0.001) | plies 148 decisive 16% | buffer 200000 steps 5020 | 192.1 g/min eta 0.6h
[2675/10000] loss 2.169 (pi 2.151 v 0.017 q 0.001 c 0.001) | plies 148 decisive 16% | buffer 200000 steps 5067 | 192.5 g/min eta 0.6h
[2700/10000] loss 2.163 (pi 2.144 v 0.017 q 0.001 c 0.001) | plies 147 decisive 16% | buffer 200000 steps 5115 | 192.9 g/min eta 0.6h
[2725/10000] loss 2.161 (pi 2.142 v 0.017 q 0.001 c 0.001) | plies 146 decisive 16% | buffer 200000 steps 5162 | 193.1 g/min eta 0.6h
[2750/10000] loss 2.160 (pi 2.140 v 0.018 q 0.001 c 0.001) | plies 145 decisive 18% | buffer 200000 steps 5208 | 193.4 g/min eta 0.6h
[2775/10000] loss 2.164 (pi 2.144 v 0.019 q 0.001 c 0.001) | plies 145 decisive 20% | buffer 200000 steps 5253 | 193.8 g/min eta 0.6h
[2800/10000] loss 2.158 (pi 2.138 v 0.019 q 0.001 c 0.001) | plies 144 decisive 21% | buffer 200000 steps 5299 | 193.9 g/min eta 0.6h
