warm start from runs/run100k/ckpt_100000.pt (2,773,699 params)
learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=32, net 2,773,699 params, study=on, gate at 0 games
  GATE OPEN @1: study/resignation enabled
[25/60000] warmup | plies 49 decisive 96% | buffer 1229 steps 0 | 12.3 g/min eta 81.5h
[2125/60000] loss 1.961 (pi 1.563 v 0.075 q 0.029 c 0.051) | plies 103 decisive 76% | buffer 200000 steps 3729 | 64.7 g/min eta 14.9h
[2150/60000] loss 1.966 (pi 1.564 v 0.076 q 0.029 c 0.051) | plies 103 decisive 74% | buffer 200000 steps 3775 | 64.9 g/min eta 14.9h
[2175/60000] loss 1.972 (pi 1.570 v 0.076 q 0.030 c 0.051) | plies 102 decisive 76% | buffer 200000 steps 3821 | 65.0 g/min eta 14.8h
[2200/60000] loss 1.963 (pi 1.563 v 0.076 q 0.029 c 0.050) | plies 102 decisive 76% | buffer 200000 steps 3867 | 65.0 g/min eta 14.8h
[2225/60000] loss 1.969 (pi 1.565 v 0.077 q 0.030 c 0.050) | plies 103 decisive 77% | buffer 200000 steps 3919 | 64.8 g/min eta 14.9h
[2250/60000] loss 1.977 (pi 1.574 v 0.077 q 0.030 c 0.050) | plies 103 decisive 77% | buffer 200000 steps 3964 | 65.0 g/min eta 14.8h
[2275/60000] loss 1.989 (pi 1.583 v 0.077 q 0.030 c 0.051) | plies 100 decisive 80% | buffer 200000 steps 4010 | 64.8 g/min eta 14.8h
[2300/60000] loss 1.988 (pi 1.585 v 0.077 q 0.030 c 0.051) | plies 101 decisive 78% | buffer 200000 steps 4057 | 64.7 g/min eta 14.9h
[2325/60000] loss 1.996 (pi 1.589 v 0.078 q 0.031 c 0.050) | plies 102 decisive 76% | buffer 200000 steps 4104 | 64.5 g/min eta 14.9h
[2350/60000] loss 1.997 (pi 1.593 v 0.077 q 0.030 c 0.049) | plies 103 decisive 77% | buffer 200000 steps 4151 | 64.8 g/min eta 14.8h
[2375/60000] loss 1.992 (pi 1.586 v 0.077 q 0.031 c 0.048) | plies 103 decisive 76% | buffer 200000 steps 4198 | 64.8 g/min eta 14.8h
[2400/60000] loss 2.003 (pi 1.598 v 0.077 q 0.031 c 0.048) | plies 102 decisive 80% | buffer 200000 steps 4243 | 65.0 g/min eta 14.8h
[2425/60000] loss 2.002 (pi 1.595 v 0.077 q 0.031 c 0.048) | plies 100 decisive 80% | buffer 200000 steps 4290 | 65.0 g/min eta 14.8h
[2450/60000] loss 1.996 (pi 1.590 v 0.078 q 0.031 c 0.047) | plies 101 decisive 80% | buffer 200000 steps 4338 | 65.1 g/min eta 14.7h
[2475/60000] loss 2.001 (pi 1.595 v 0.078 q 0.031 c 0.047) | plies 102 decisive 78% | buffer 200000 steps 4388 | 65.1 g/min eta 14.7h
[2500/60000] loss 2.011 (pi 1.605 v 0.078 q 0.031 c 0.046) | plies 103 decisive 80% | buffer 200000 steps 4437 | 64.9 g/min eta 14.8h
[2525/60000] loss 2.015 (pi 1.607 v 0.078 q 0.031 c 0.046) | plies 102 decisive 80% | buffer 200000 steps 4479 | 65.0 g/min eta 14.7h
[2550/60000] loss 2.010 (pi 1.604 v 0.077 q 0.031 c 0.046) | plies 103 decisive 80% | buffer 200000 steps 4531 | 65.2 g/min eta 14.7h
[2575/60000] loss 2.011 (pi 1.606 v 0.078 q 0.031 c 0.046) | plies 104 decisive 80% | buffer 200000 steps 4575 | 65.1 g/min eta 14.7h
[2600/60000] loss 2.022 (pi 1.616 v 0.078 q 0.031 c 0.046) | plies 105 decisive 78% | buffer 200000 steps 4618 | 65.2 g/min eta 14.7h
[2625/60000] loss 2.023 (pi 1.617 v 0.078 q 0.031 c 0.045) | plies 107 decisive 76% | buffer 200000 steps 4668 | 65.2 g/min eta 14.7h
[2650/60000] loss 2.025 (pi 1.620 v 0.078 q 0.031 c 0.044) | plies 106 decisive 76% | buffer 200000 steps 4714 | 65.1 g/min eta 14.7h
[2675/60000] loss 2.026 (pi 1.617 v 0.078 q 0.031 c 0.044) | plies 103 decisive 80% | buffer 200000 steps 4759 | 65.0 g/min eta 14.7h
[2700/60000] loss 2.033 (pi 1.623 v 0.078 q 0.031 c 0.044) | plies 102 decisive 78% | buffer 200000 steps 4804 | 65.1 g/min eta 14.7h
[2725/60000] loss 2.040 (pi 1.631 v 0.078 q 0.031 c 0.044) | plies 104 decisive 80% | buffer 200000 steps 4850 | 65.2 g/min eta 14.6h
[2750/60000] loss 2.049 (pi 1.638 v 0.078 q 0.031 c 0.044) | plies 101 decisive 82% | buffer 200000 steps 4894 | 65.2 g/min eta 14.6h
[2775/60000] loss 2.040 (pi 1.631 v 0.078 q 0.031 c 0.044) | plies 100 decisive 82% | buffer 200000 steps 4938 | 65.4 g/min eta 14.6h
