learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=16, net 2,772,161 params, study=on, gate at 2000 games
[25/100000] warmup | plies 42 decisive 100% | buffer 1054 steps 0 | 19.0 g/min eta 87.6h
[2025/100000] loss 2.769 (pi 2.711 v 0.051 q 0.004 c 0.005) | plies 137 decisive 30% | buffer 200000 steps 3584 | 102.2 g/min eta 16.0h
[2050/100000] loss 2.760 (pi 2.702 v 0.052 q 0.004 c 0.004) | plies 135 decisive 31% | buffer 200000 steps 3627 | 103.0 g/min eta 15.8h
[2075/100000] loss 2.750 (pi 2.691 v 0.053 q 0.004 c 0.004) | plies 135 decisive 32% | buffer 200000 steps 3672 | 103.8 g/min eta 15.7h
[2100/100000] loss 2.741 (pi 2.681 v 0.053 q 0.004 c 0.004) | plies 136 decisive 30% | buffer 200000 steps 3719 | 104.4 g/min eta 15.6h
[2125/100000] loss 2.732 (pi 2.673 v 0.053 q 0.004 c 0.004) | plies 135 decisive 32% | buffer 200000 steps 3766 | 104.4 g/min eta 15.6h
[2150/100000] loss 2.725 (pi 2.666 v 0.053 q 0.004 c 0.004) | plies 138 decisive 30% | buffer 200000 steps 3815 | 104.5 g/min eta 15.6h
[2175/100000] loss 2.714 (pi 2.655 v 0.053 q 0.004 c 0.004) | plies 140 decisive 27% | buffer 200000 steps 3863 | 104.7 g/min eta 15.6h
[2200/100000] loss 2.702 (pi 2.644 v 0.052 q 0.004 c 0.004) | plies 142 decisive 25% | buffer 200000 steps 3910 | 104.9 g/min eta 15.5h
[2225/100000] loss 2.687 (pi 2.630 v 0.050 q 0.004 c 0.004) | plies 141 decisive 26% | buffer 200000 steps 3956 | 105.2 g/min eta 15.5h
[2250/100000] loss 2.676 (pi 2.620 v 0.049 q 0.004 c 0.004) | plies 143 decisive 23% | buffer 200000 steps 4004 | 105.0 g/min eta 15.5h
[2275/100000] loss 2.662 (pi 2.608 v 0.048 q 0.004 c 0.004) | plies 145 decisive 20% | buffer 200000 steps 4054 | 104.9 g/min eta 15.5h
[2300/100000] loss 2.648 (pi 2.595 v 0.048 q 0.004 c 0.004) | plies 144 decisive 21% | buffer 200000 steps 4101 | 105.0 g/min eta 15.5h
[2325/100000] loss 2.640 (pi 2.587 v 0.047 q 0.004 c 0.004) | plies 143 decisive 23% | buffer 200000 steps 4146 | 105.2 g/min eta 15.5h
[2350/100000] loss 2.627 (pi 2.575 v 0.046 q 0.004 c 0.004) | plies 141 decisive 24% | buffer 200000 steps 4193 | 105.0 g/min eta 15.5h
[2375/100000] loss 2.624 (pi 2.571 v 0.047 q 0.004 c 0.004) | plies 137 decisive 28% | buffer 200000 steps 4238 | 104.9 g/min eta 15.5h
[2400/100000] loss 2.617 (pi 2.564 v 0.047 q 0.004 c 0.004) | plies 135 decisive 30% | buffer 200000 steps 4287 | 104.8 g/min eta 15.5h
[2425/100000] loss 2.607 (pi 2.554 v 0.047 q 0.004 c 0.004) | plies 136 decisive 30% | buffer 200000 steps 4337 | 104.8 g/min eta 15.5h
[2450/100000] loss 2.591 (pi 2.538 v 0.047 q 0.004 c 0.004) | plies 134 decisive 34% | buffer 200000 steps 4387 | 104.9 g/min eta 15.5h
[2475/100000] loss 2.575 (pi 2.523 v 0.046 q 0.004 c 0.004) | plies 133 decisive 35% | buffer 200000 steps 4435 | 105.0 g/min eta 15.5h
