games,steps,buffer,avg_plies,decisive_rate,loss,loss_pi,loss_v,loss_q,loss_cons,q_w,q_d,q_l,pol_w,pol_d,pol_l,search_w,search_d,search_l,games_per_min
85000,152807,200000,110.5,0.735,1.5185,1.4123,0.0857,0.0131,0.015,3,21,0,13,11,0,7,1,0,118.88
86000,154500,200000,103.4,0.705,1.5083,1.4013,0.0872,0.0127,0.0141,3,21,0,4,20,0,8,0,0,118.93
87000,156166,200000,104.2,0.76,1.4809,1.377,0.0835,0.013,0.0146,8,16,0,8,16,0,8,0,0,119.01
88000,157848,200000,109.7,0.665,1.4697,1.3628,0.0866,0.0133,0.014,3,21,0,5,19,0,8,0,0,119.08
89000,159536,200000,109.2,0.685,1.4579,1.3507,0.0863,0.0134,0.0149,3,21,0,13,11,0,8,0,0,119.14
90000,161228,200000,105.8,0.71,1.4521,1.3432,0.0879,0.0137,0.0146,7,17,0,8,16,0,8,0,0,119.21
91000,162888,200000,107.6,0.745,1.4482,1.3359,0.0911,0.0137,0.0149,6,18,0,7,17,0,8,0,0,119.27
92000,164601,200000,105.8,0.735,1.4808,1.3665,0.0921,0.0144,0.0158,4,20,0,9,15,0,8,0,0,119.31
93000,166300,200000,102.0,0.75,1.5395,1.4212,0.0957,0.0147,0.0158,3,21,0,7,17,0,8,0,0,119.36
94000,167997,200000,101.9,0.775,1.5876,1.4667,0.097,0.015,0.0175,1,23,0,5,19,0,7,1,0,119.41
95000,169640,200000,91.2,0.82,1.6297,1.5079,0.0975,0.0157,0.0172,6,18,0,9,15,0,8,0,0,119.51
96000,171354,200000,100.5,0.825,1.6542,1.5293,0.1011,0.0154,0.0167,4,20,0,12,12,0,8,0,0,119.58
97000,173078,200000,105.4,0.76,1.6604,1.5328,0.1037,0.0155,0.0168,2,22,0,8,16,0,8,0,0,119.64
98000,174815,200000,104.7,0.745,1.6631,1.5361,0.1026,0.0158,0.0173,5,19,0,7,17,0,8,0,0,119.7
99000,176543,200000,103.7,0.805,1.6487,1.5173,0.1065,0.0159,0.0181,5,19,0,11,13,0,8,0,0,119.75
100000,178251,200000,102.0,0.79,1.6647,1.5337,0.107,0.0158,0.0163,7,17,0,10,14,0,8,0,0,119.77
